,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"왼쪽 끝 좌표: (0, 0), 중간 좌표: (48, 24), 끝 좌표(96, 48)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"정렬 텍스트: LEFT, CENTER, RIGHT, L, C, R 각각 왼쪽정렬, 가운데정렬, 오른쪽정렬",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"좌표 0~96, 0~48 범위를 벗어나더라도 렌더링이 가능합니다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,부족하면 더 적어도 작동합니다,,,,,,
,번호,표지판타입,좌표갯수,x1,y1,텍스트1,텍스트 배율,색,정렬1,x2,y2,텍스트2,텍스트 배율,색,정렬2,x3,y3,텍스트3,텍스트 배율,색,정렬3,x4,y4,텍스트4,텍스트 배율,색,정렬4,x5,y5,텍스트5,텍스트 배율,색,정렬5,
,default,default,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,08-101,default,3,184,30,08-101,1,#0000FF,RIGHT,10,10,기계제도실,1.75,#FFFFFF,LEFT,10,29,Mechanical Drawing Room,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-102,default,3,184,30,08-102,1,#0000FF,RIGHT,10,10,재료실험실,1.75,#FFFFFF,LEFT,10,29,Material Testing Lab.,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-103,default,3,184,30,08-103,1,#0000FF,RIGHT,10,10,기자재실,1.75,#FFFFFF,LEFT,10,29,Machine Parts Supply Room,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-104,default,3,148,15,08-104,1,#0000FF,LEFT,140,10,기계공학과학생회실,1.75,#FFFFFF,RIGHT,140,29,Students Association · Dept of Mechanical Engineering,0.45,#FFFFFF,RIGHT,,,,,,,,,,,,,
,08-105,default,3,184,30,08-105,1,#0000FF,RIGHT,10,10,멀티스케일 유동제어 연구실-1,1.4,#FFFFFF,LEFT,10,29,Multi-Scale Flow Control Lab.-1,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-106,default,3,184,30,08-106,1,#0000FF,RIGHT,10,10,신재생에너지연구실-2,1.75,#FFFFFF,LEFT,10,29,Renewable Energy Laboratory-2,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-107,default,3,184,30,08-107,1,#0000FF,RIGHT,10,10,창   고,1.75,#FFFFFF,LEFT,10,29,Storage,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-108,default,3,184,30,08-108,1,#0000FF,RIGHT,10,10,탕 비 실,1.75,#FFFFFF,LEFT,10,29,Office Pantry,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-109,default,3,184,30,08-109,1,#0000FF,RIGHT,10,10,로봇 · 제어 · 사이버네틱스 연구실,1.2,#FFFFFF,LEFT,10,29,"Robotics, Control and Cybernetics Lab.",0.65,#808080,LEFT,,,,,,,,,,,,,
,08-110,default,3,184,30,08-110,1,#0000FF,RIGHT,10,10,로봇 제어 실험실,1.75,#FFFFFF,LEFT,10,29,Robot Control Lab.,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-111,default,3,184,30,08-111,1,#0000FF,RIGHT,10,10,반도체에너지전달연구실,1.75,#FFFFFF,LEFT,10,29,Semiconductor Energy Transfer Lab.,0.65,#808080,LEFT,,,,,,,,,,,,,
